	INDEX	form	lemma	xpos	syllables	stress	phon	include
222058	222058	plinuța	plinuț	Afpfsry	pli.nu.ța	plin'uța	p l i n u ts a	True
323637	323637	înghioldiși	înghioldi	Vmis2s	în.ghiol.diși	înghiold'iși	1 n g_j o l d i S i_0	True
38048	38048	asiguraseți	asigura	Vmil2p	a.si.gu.ra.seți	asigur'aseți	a s i g u r a s e ts i_0	True
213469	213469	pariezi	paria	Vmip2s	pa.ri.ezi	pari'ezi	p a r i e z i_0	True
229567	229567	preparași	prepara	Vmis2s	pre.pa.rași	prepar'ași	p r e p a r a S i_0	True
60843	60843	cazaserăm	caza	Vmil1p	ca.za.se.răm	caz'aserăm	k a z a s e r @ m	True
251475	251475	replicații	replicat	Afpmpry	re.pli.ca.ții	replic'ații	r e p l i k a ts i j	True
228955	228955	preliminare	preliminar	Afpfson	pre.li.mi.na.re	prelimin'are	p r e l i m i n a r e	True
287986	287986	tapetează	tapeta	Vmip3	ta.pe.tea.ză	tapete'ază	t a p e t e_X a z @	True
70601	70601	colorați	colora	Vmp--pm	co.lo.rați	color'ați	k o l o r a ts i_0	True
199681	199681	neverosimilul	neverosimil	Afpmsry	ne.ve.ro.si.mi.lul	neveros'imilul	n e v e r o s i m i l u l	True
90809	90809	decantați	decanta	Vmm-2p	de.can.tați	decant'ați	d e k a n t a ts i_0	True
294314	294314	translați	transla	Vmip2p	trans.lați	transl'ați	t r a n s l a ts i_0	True
271504	271504	sloboziseși	slobozi	Vmil2s	slo.bo.zi.seși	sloboz'iseși	s l o b o z i s e S i_0	True
169982	169982	mătăhuia	mătăhuie	Ncfsry	mă.tă.hu.ia	mătăh'uia	m @ t @ h u j a	True
270927	270927	sistematicii	sistematic	Afpmpry	sis.te.ma.ti.cii	sistem'aticii	s i s t e m a t i tS i j	True
76072	76072	conservantei	conservant	Afpfsoy	con.ser.van.tei	conserv'antei	k o n s e r v a n t e j	True
72124	72124	completările	completare	Ncfpry	com.ple.tă.ri.le	complet'ările	k o m p l e t @ r i l e	True
279483	279483	strivirăți	strivi	Vmis2p	stri.vi.răți	striv'irăți	s t r i v i r @ ts i_0	True
244114	244114	reangaja	=	Vmnp	re.an.ga.ja	reangaj'a	r e a n g a Z a	True
123001	123001	făcătoareo	făcător	Afpfsvy	fă.că.toa.reo	făcăto'areo	f @ k @ t o_X a r e_X o	True
118301	118301	eupeptice	eupeptic	Afpfson	e.u.pep.ti.ce	eup'eptice	e u p e p t i tS e	True
191735	191735	nelegat	=	Afpms-n	ne.le.gat	neleg'at	n e l e g a t	True
288397	288397	tauromahiei	tauromahie	Ncfsoy	ta.u.ro.ma.hi.ei	tauromah'iei	t a u r o m a h i e j	True
237896	237896	purced	purcede	Vmip3p	pur.ced	purc'ed	p u r tS e d	True
242582	242582	ramei	ramă	Ncfsoy	ra.mei	r'amei	r a m e j	True
152099	152099	ingenuilor	ingenuu	Afpmpoy	in.ge.nu.i.lor	ing'enuilor	i n gZ e n u i l o r	True
177602	177602	militați	militat	Afpmp-n	mi.li.tați	milit'ați	m i l i t a ts i_0	True
242218	242218	radiotelegrafiau	radiotelegrafia	Vmii3p	ra.di.o.te.le.gra.fi.au	radiotelegrafi'au	r a d i o t e l e g r a f i a w	True
29155	29155	amniotic	=	Afpms-n	am.ni.o.tic	amni'otic	a m n i o t i k	True
304028	304028	valoroasă	valoros	Afpfsrn	va.lo.roa.să	valoro'asă	v a l o r o_X a s @	True
112610	112610	echilibristicii	echilibristică	Ncfsoy	e.chi.li.bris.ti.cii	echilibr'isticii	e k_j i l i b r i s t i tS i j	True
300015	300015	uluiesc	ului	Vmip3p	u.lu.iesc	ului'esc	u l u j e s k	True
248167	248167	regalele	regal	Afpfpry	re.ga.le.le	reg'alele	r e g a l e l e	True
34351	34351	apreciații	apreciat	Afpmpry	a.pre.ci.a.ții	apreci'ații	a p r e tS i a ts i j	True
36482	36482	armenelor	armean	Afpfpoy	ar.me.ne.lor	arm'enelor	a r m e n e l o r	True
180004	180004	mobilează	mobila	Vmip3	mo.bi.lea.ză	mobile'ază	m o b i l e_X a z @	True
49020	49020	blama	=	Vmnp	bla.ma	blam'a	b l a m a	True
31055	31055	animalicul	=	Ncms-n	a.ni.ma.li.cul	anim'alicul	a n i m a l i k u l	True
70852	70852	comasați	comasa	Vmii2p	co.ma.sați	comas'ați	k o m a s a ts i_0	True
253306	253306	retehnologizate	retehnologiza	Vmp--pf	re.teh.no.lo.gi.za.te	retehnologiz'ate	r e t e h n o l o gZ i z a t e	True
187291	187291	nețintuind	țintui	Vmg	ne.țin.tu.ind	nețintu'ind	n e ts i n t u i n d	True
1760	1760	șocaseși	șoca	Vmil2s	șo.ca.seși	șoc'aseși	S o k a s e S i_0	True
98907	98907	desfășurăm	desfășura	Vmip1p	des.fă.șu.răm	desfășur'ăm	d e s f @ S u r @ m	True
251257	251257	repertoriul	repertoriu	Ncmsry	re.per.to.ri.ul	repert'oriul	r e p e r t o r i u l	True
147831	147831	impozitelor	impozit	Ncfpoy	im.po.zi.te.lor	imp'ozitelor	i m p o z i t e l o r	True
150658	150658	industriașului	industriaș	Ncmsoy	in.dus.tri.a.șu.lui	industri'așului	i n d u s t r i a S u l u j	True
298983	298983	târșuților	târșuț	Ncmpoy	târ.șu.ți.lor	târș'uților	t 1 r S u ts i l o r	True
71236	71236	comercialele	comercial	Afpfpry	co.mer.ci.a.le.le	comerci'alele	k o m e r tS i a l e l e	True
245857	245857	recreași	recrea	Vmis2s	re.cre.ași	recre'ași	r e k r e a S i_0	True
59964	59964	castrarea	castrare	Ncfsry	cas.tra.rea	castr'area	k a s t r a r e_X a	True
51589	51589	brevetarăți	breveta	Vmis2p	bre.ve.ta.răți	brevet'arăți	b r e v e t a r @ ts i_0	True
42141	42141	autoproclamarăți	autoproclama	Vmis2p	a.u.to.pro.cla.ma.răți	autoproclam'arăți	a u t o p r o k l a m a r @ ts i_0	True
319446	319446	încovoiază	încovoia	Vmm-2s	în.co.vo.ia.ză	încovoi'ază	1 n k o v o j a z @	True
119486	119486	exasperantele	exasperant	Afpfpry	e.xas.pe.ran.te.le	exasper'antele	e gz a s p e r a n t e l e	True
280171	280171	stupefianta	stupefiant	Afpfsry	stu.pe.fi.an.ta	stupefi'anta	s t u p e f i a n t a	True
64764	64764	cifra	cifră	Ncfsry	ci.fra	c'ifra	tS i f r a	True
71897	71897	compensați	compensa	Vmp--pm	com.pen.sați	compens'ați	k o m p e n s a ts i_0	True
44102	44102	bălăcăriși	bălăcări	Vmis2s	bă.lă.că.riși	bălăcăr'iși	b @ l @ k @ r i S i_0	True
118419	118419	europeni	european	Ncmp-n	e.u.ro.peni	europ'eni	e u r o p e n i_0	True
32980	32980	antrenata	antrenat	Afpfsry	an.tre.na.ta	antren'ata	a n t r e n a t a	True
249076	249076	reintegrări	reintegrare	Ncfp-n	re.in.te.grări	reintegr'ări	r e i n t e g r @ r i_0	True
70598	70598	colorați	colora	Vmii2p	co.lo.rați	color'ați	k o l o r a ts i_0	True
194795	194795	nemairulând	rula	Vmg	ne.mai.ru.lând	nemairul'ând	n e m a j r u l 1 n d	True
330011	330011	învinovățiseși	învinovăți	Vmil2s	în.vi.no.vă.ți.seși	învinovăț'iseși	1 n v i n o v @ ts i s e S i_0	True
236375	236375	psalmodiaseși	psalmodia	Vmil2s	psal.mo.di.a.seși	psalmodi'aseși	p s a l m o d i a s e S i_0	True
291811	291811	tiruri	tir	Ncfp-n	ti.ruri	t'iruri	t i r u r i_0	True
158656	158656	irlandezei	irlandeză	Ncfsoy	ir.lan.de.zei	irland'ezei	i r l a n d e z e j	True
228328	228328	preexistase	preexista	Vmil3s	pre.e.xis.ta.se	preexist'ase	p r e e gz i s t a s e	True
283789	283789	suplimentări	suplimentare	Ncfson	su.pli.men.tări	supliment'ări	s u p l i m e n t @ r i_0	True
69787	69787	colț	=	Ncms-n	colț	colț	k o l ts	True
98515	98515	descântați	descântat	Afpmp-n	des.cân.tați	descânt'ați	d e s k 1 n t a ts i_0	True
155721	155721	interogați	interoga	Vmii2p	in.te.ro.gați	interog'ați	i n t e r o g a ts i_0	True
134594	134594	galezului	galez	Afpmsoy	ga.le.zu.lui	gal'ezului	g a l e z u l u j	True
222572	222572	plânseseți	plânge	Vmil2p	plân.se.seți	plâns'eseți	p l 1 n s e s e ts i_0	True
292128	292128	tocănire	=	Ncfsrn	to.că.ni.re	tocăn'ire	t o k @ n i r e	True
327246	327246	însușitul	însușit	Afpmsry	în.su.și.tul	însuș'itul	1 n s u S i t u l	True
185835	185835	năpârleai	năpârli	Vmii2s	nă.pâr.leai	năpârle'ai	n @ p 1 r l e_X a j	True
304255	304255	variabila	variabilă	Ncfsry	va.ri.a.bi.la	vari'abila	v a r i a b i l a	True
221237	221237	platina	=	Vmii3s	pla.ti.na	platin'a	p l a t i n a	True
80833	80833	coregrafiase	coregrafia	Vmil3s	co.re.gra.fi.a.se	coregrafi'ase	k o r e g r a f i a s e	True
112506	112506	ecatomba	ecatombă	Ncfsry	e.ca.tom.ba	ecat'omba	e k a t o m b a	True
267494	267494	serotoninele	serotonină	Ncfpry	se.ro.to.ni.ne.le	seroton'inele	s e r o t o n i n e l e	True
57663	57663	camuflează	camufla	Vmip3	ca.mu.flea.ză	camufle'ază	k a m u f l e_X a z @	True
41624	41624	autogospodăriseși	autogospodări	Vmil2s	a.u.to.gos.po.dă.ri.seși	autogospodăr'iseși	a u t o g o s p o d @ r i s e S i_0	True
118367	118367	euroatlanticului	euroatlantic	Afpmsoy	e.u.ro.a.tlan.ti.cu.lui	euroatl'anticului	e u r o a t l a n t i k u l u j	True
306842	306842	vindecaseși	vindeca	Vmil2s	vin.de.ca.seși	vindec'aseși	v i n d e k a s e S i_0	True
242322	242322	rafinări	rafinare	Ncfson	ra.fi.nări	rafin'ări	r a f i n @ r i_0	True
4843	4843	mbobociți	îmboboci	Vmp--pm	m.bo.bo.ciți	mboboc'iți	m b o b o tS i ts i_0	True
306654	306654	viguroasei	viguros	Afpfsoy	vi.gu.roa.sei	viguro'asei	v i g u r o_X a s e j	True
71978	71978	competentule	competent	Afpmsvy	com.pe.ten.tu.le	compet'entule	k o m p e t e n t u l e	True
303427	303427	vătămaseși	vătăma	Vmil2s	vă.tă.ma.seși	vătăm'aseși	v @ t @ m a s e S i_0	True
144144	144144	hrepcui	=	Vmnp	hrep.cu.i	hrepcu'i	h r e p k u i	True
24882	24882	agresați	agresat	Afpmp-n	a.gre.sați	agres'ați	a g r e s a ts i_0	True
287182	287182	taților	tată	Ncmpoy	ta.ți.lor	t'aților	t a ts i l o r	True
148278	148278	impulsivii	impulsiv	Afpmpry	im.pul.si.vii	impuls'ivii	i m p u l s i v i j	True
89467	89467	darabanule	daraban	Ncmsvy	da.ra.ba.nu.le	darab'anule	d a r a b a n u l e	True
41620	41620	autogospodărisem	autogospodări	Vmil1	a.u.to.gos.po.dă.ri.sem	autogospodăr'isem	a u t o g o s p o d @ r i s e m	True
254851	254851	revoluționarei	revoluționară	Ncfsoy	re.vo.lu.țio.na.rei	revoluțion'arei	r e v o l u ts j o n a r e j	True
294661	294661	transpirarăți	transpira	Vmis2p	tran.spi.ra.răți	transpir'arăți	t r a n s p i r a r @ ts i_0	True
299779	299779	ulterioara	ulterior	Afpfsry	ul.te.ri.oa.ra	ulterio'ara	u l t e r i o_X a r a	True
175459	175459	menstruației	menstruație	Ncfsoy	men.stru.a.ți.ei	menstru'ației	m e n s t r u a ts i e j	True
177622	177622	militară	militar	Afpfsrn	mi.li.ta.ră	milit'ară	m i l i t a r @	True
88934	88934	dăscăleai	dăscăli	Vmii2s	dăs.că.leai	dăscăle'ai	d @ s k @ l e_X a j	True
34027	34027	aplicam	aplica	Vmii1	a.pli.cam	aplic'am	a p l i k a m	True
74462	74462	condimentaserăm	condimenta	Vmil1p	con.di.men.ta.se.răm	condiment'aserăm	k o n d i m e n t a s e r @ m	True
324899	324899	înlănțuirăți	înlănțui	Vmis2p	în.lăn.țu.i.răți	înlănțu'irăți	1 n l @ n ts u i r @ ts i_0	True
28842	28842	amestecă	amesteca	Vmip3	a.mes.te.că	am'estecă	a m e s t e k @	True
120390	120390	exersați	exersa	Vmp--pm	e.xer.sați	exers'ați	e gz e r s a ts i_0	True
212192	212192	papal	=	Afpms-n	pa.pal	pap'al	p a p a l	True
312599	312599	zgâriații	zgâriat	Afpmpry	zgâ.ri.a.ții	zgâri'ații	z g 1 r i a ts i j	True
253807	253807	retrogradam	retrograda	Vmii1	re.tro.gra.dam	retrograd'am	r e t r o g r a d a m	True
25657	25657	alarmaserăm	alarma	Vmil1p	a.lar.ma.se.răm	alarm'aserăm	a l a r m a s e r @ m	True
124670	124670	fascinau	fascina	Vmii3p	fas.ci.nau	fascin'au	f a s tS i n a w	True
111641	111641	dumbravnicul	dumbravnic	Ncmsry	dum.brav.ni.cul	dumbr'avnicul	d u m b r a v n i k u l	True
164077	164077	leșină	leșina	Vmip3	le.și.nă	leș'ină	l e S i n @	True
282019	282019	subînțeles	=	Afpms-n	su.bîn.țe.les	subînțel'es	s u b 1 n ts e l e s	True
134579	134579	galeriile	galerie	Ncfpry	ga.le.ri.i.le	galer'iile	g a l e r i i l e	True
314427	314427	îmbrâncelilor	îmbrânceală	Ncfpoy	îm.brân.ce.li.lor	îmbrânc'elilor	1 m b r 1 n tS e l i l o r	True
119389	119389	examina	=	Vmii3s	e.xa.mi.na	examin'a	e gz a m i n a	True
232950	232950	procentaj	=	Ncms-n	pro.cen.taj	procent'aj	p r o tS e n t a Z	True
214199	214199	pasive	pasiv	Afpfson	pa.si.ve	pas'ive	p a s i v e	True
122789	122789	extrinsecei	extrinsec	Afpfsoy	ex.trin.se.cei	extrins'ecei	e ks t r i n s e tS e j	True
2711	2711	știrbesc	știrbi	Vmip1s	știr.besc	știrb'esc	S t i r b e s k	True
54453	54453	cățărarăți	cățăra	Vmis2p	că.ță.ra.răți	cățăr'arăți	k @ ts @ r a r @ ts i_0	True
100682	100682	deteriora	=	Vmnp	de.te.ri.o.ra	deterior'a	d e t e r i o r a	True
52212	52212	bruscul	brusc	Afpmsry	brus.cul	br'uscul	b r u s k u l	True
150684	150684	industrializaserăți	industrializa	Vmil2p	in.dus.tri.a.li.za.se.răți	industrializ'aserăți	i n d u s t r i a l i z a s e r @ ts i_0	True
120199	120199	exemplar	=	Afpms-n	e.xem.plar	exempl'ar	e gz e m p l a r	True
247625	247625	reflectaților	reflectat	Afpmpoy	re.flec.ta.ți.lor	reflect'aților	r e f l e k t a ts i l o r	True
109497	109497	donatorul	donator	Ncmsry	do.na.to.rul	donat'orul	d o n a t o r u l	True
49894	49894	boemii	boem	Ncmpry	bo.e.mii	bo'emii	b o e m i j	True
56075	56075	căutai	căuta	Vmii2s	că.u.tai	căut'ai	k @ u t a j	True
291432	291432	tincturilor	tinctură	Ncfpoy	tinc.tu.ri.lor	tinct'urilor	t i n k t u r i l o r	True
218970	218970	pielonefritele	pielonefrită	Ncfpry	pi.e.lo.ne.fri.te.le	pielonefr'itele	p i e l o n e f r i t e l e	True
36715	36715	ars	arde	Vmp--sm	ars	ars	a r s	True
171248	171248	malignii	malign	Afpmpry	ma.lig.nii	mal'ignii	m a l i g n i j	True
253660	253660	retribuit	=	Afpms-n	re.tri.bu.it	retribu'it	r e t r i b u i t	True
1757	1757	șocaseră	șoca	Vmil3p	șo.ca.se.ră	șoc'aseră	S o k a s e r @	True
307305	307305	virasem	vira	Vmil1	vi.ra.sem	vir'asem	v i r a s e m	True
306125	306125	vicepremierilor	vicepremier	Ncmpoy	vi.ce.pre.mi.e.ri.lor	vicepremi'erilor	v i tS e p r e m i e r i l o r	True
20116	20116	aclamată	aclamat	Afpfsrn	a.cla.ma.tă	aclam'ată	a k l a m a t @	True
228776	228776	preistoricii	preistoric	Afpmpry	pre.is.to.ri.cii	preist'oricii	p r e i s t o r i tS i j	True
303028	303028	văduvii	văduv	Afpmpry	vă.du.vii	v'ăduvii	v @ d u v i j	True
319953	319953	încuie	încuia	Vmip3	în.cu.ie	înc'uie	1 n k u j e	True
288906	288906	telefonate	telefona	Vmp--pf	te.le.fo.na.te	telefon'ate	t e l e f o n a t e	True
278239	278239	stolnicul	stolnic	Ncmsry	stol.ni.cul	st'olnicul	s t o l n i k u l	True
236328	236328	prânzurilor	prânz	Ncfpoy	prân.zu.ri.lor	pr'ânzurilor	p r 1 n z u r i l o r	True
84952	84952	cuarțoasele	cuarțos	Afpfpry	cuar.țoa.se.le	cuarțo'asele	k w a r ts o_X a s e l e	True
94183	94183	delictualele	delictual	Afpfpry	de.lic.tu.a.le.le	delictu'alele	d e l i k t u a l e l e	True
130871	130871	fracturi	fractură	Ncfp-n	frac.turi	fract'uri	f r a k t u r i_0	True
297253	297253	trusturi	trust	Ncfp-n	trus.turi	tr'usturi	t r u s t u r i_0	True
269930	269930	simplificaților	simplificat	Afpmpoy	sim.pli.fi.ca.ți.lor	simplific'aților	s i m p l i f i k a ts i l o r	True
109561	109561	dopaserăm	dopa	Vmil1p	do.pa.se.răm	dop'aserăm	d o p a s e r @ m	True
221296	221296	platourilor	platou	Ncfpoy	pla.to.u.ri.lor	plat'ourilor	p l a t o u r i l o r	True
73638	73638	concesionarăm	concesiona	Vmis1p	con.ce.si.o.na.răm	concesion'arăm	k o n tS e s i o n a r @ m	True
236342	236342	prâsnelul	prâsnel	Ncmsry	prâs.ne.lul	prâsn'elul	p r 1 s n e l u l	True
265316	265316	sechestrează	sechestra	Vmm-2s	se.ches.trea.ză	sechestre'ază	s e k_j e s t r e_X a z @	True
259787	259787	sănătosul	sănătos	Afpmsry	să.năto.sul	sănăt'osul	s @ n @ t o s u l	True
30718	30718	angajaseși	angaja	Vmil2s	an.ga.ja.seși	angaj'aseși	a n g a Z a s e S i_0	True
327680	327680	întin	întina	Vmip1s	în.tin	înt'in	1 n t i n	True
103982	103982	dezvelirile	dezvelire	Ncfpry	dez.ve.li.ri.le	dezvel'irile	d e z v e l i r i l e	True
216615	216615	perfuzabila	perfuzabil	Afpfsry	per.fu.za.bi.la	perfuz'abila	p e r f u z a b i l a	True
282543	282543	suflările	suflare	Ncfpry	su.flă.ri.le	sufl'ările	s u f l @ r i l e	True
100239	100239	destructurez	destructura	Vmip1s	des.truc.tu.rez	destructur'ez	d e s t r u k t u r e z	True
69790	69790	colților	colț	Ncmpoy	col.ți.lor	c'olților	k o l ts i l o r	True
30118	30118	anapestica	anapestic	Afpfsry	a.na.pes.ti.ca	anap'estica	a n a p e s t i k a	True
299163	299163	târâi	târî	Vmis1s	tâ.râi	târ'âi	t 1 r 1 j	True
184383	184383	musturilor	must	Ncfpoy	mus.tu.ri.lor	m'usturilor	m u s t u r i l o r	True
322398	322398	înfioră	înfiora	Vmis3s	în.fi.o.ră	înfior'ă	1 n f i o r @	True
75006	75006	confidențialului	confidențial	Afpmsoy	con.fi.den.ția.lu.lui	confidenți'alului	k o n f i d e n ts j a l u l u j	True
124577	124577	farmacologiilor	farmacologie	Ncfpoy	far.ma.co.lo.gi.i.lor	farmacolog'iilor	f a r m a k o l o gZ i i l o r	True
110221	110221	drămuirea	drămuire	Ncfsry	dră.mu.i.rea	drămu'irea	d r @ m u i r e_X a	True
251156	251156	repera	=	Vmnp	re.pe.ra	reper'a	r e p e r a	True
69614	69614	cognitivilor	cognitiv	Afpmpoy	cog.ni.ti.vi.lor	cognit'ivilor	k o g n i t i v i l o r	True
207331	207331	orbești	orbi	Vmip2s	or.bești	orb'ești	o r b e S t i_0	True
151008	151008	inexorabilităților	inexorabilitate	Ncfpoy	i.ne.xo.ra.bi.li.tă.ți.lor	inexorabilit'ăților	i n e ks o r a b i l i t @ ts i l o r	True
279430	279430	strimte	strimt	Afpfson	strim.te	str'imte	s t r i m t e	True
243075	243075	ratificaserăm	ratifica	Vmil1p	ra.ti.fi.ca.se.răm	ratific'aserăm	r a t i f i k a s e r @ m	True
260817	260817	safirul	safir	Ncmsry	sa.fi.rul	saf'irul	s a f i r u l	True
191852	191852	neliniștise	neliniști	Vmil3s	ne.li.niș.ti.se	nelinișt'ise	n e l i n i S t i s e	True
329707	329707	înveliți	înveli	Vmm-2p	în.ve.liți	învel'iți	1 n v e l i ts i_0	True
145877	145877	ierarh	=	Ncms-n	ie.rarh	ier'arh	j e r a r h	True
288803	288803	telecomanda	=	Vmii3s	te.le.co.man.da	telecomand'a	t e l e k o m a n d a	True
228206	228206	predispuneau	predispune	Vmii3p	pre.dis.pu.neau	predispune'au	p r e d i s p u n e_X a w	True
34972	34972	arădeanca	arădeancă	Ncfsry	a.ră.dean.ca	arăde'anca	a r @ d e_X a n k a	True
291359	291359	timoraserăți	timora	Vmil2p	ti.mo.ra.se.răți	timor'aserăți	t i m o r a s e r @ ts i_0	True
247865	247865	reformulau	reformula	Vmii3p	re.for.mu.lau	reformul'au	r e f o r m u l a w	True
230054	230054	presopunctura	presopunctură	Ncfsry	pre.so.punc.tu.ra	presopunct'ura	p r e s o p u n k t u r a	True
249208	249208	reinvestesc	reinvesti	Vmip1s	rein.ves.tesc	reinvest'esc	r e j n v e s t e s k	True
312238	312238	zgrepțănase	zgrepțăna	Vmil3s	zgrep.ță.na.se	zgrepțăn'ase	z g r e p ts @ n a s e	True
234838	234838	propagaseși	propaga	Vmil2s	pro.pa.ga.seși	propag'aseși	p r o p a g a s e S i_0	True
193743	193743	nemailătrând	lătra	Vmg	ne.mai.lă.trând	nemailătr'ând	n e m a j l @ t r 1 n d	True
164396	164396	legalități	legalitate	Ncfson	le.ga.li.tăți	legalit'ăți	l e g a l i t @ ts i_0	True
322902	322902	înfruntatul	înfruntat	Afpmsry	în.frun.ta.tul	înfrunt'atul	1 n f r u n t a t u l	True
180509	180509	modularului	modular	Afpmsoy	mo.du.la.ru.lui	modul'arului	m o d u l a r u l u j	True
282913	282913	sugrumată	sugruma	Vmp--sf	su.gru.ma.tă	sugrum'ată	s u g r u m a t @	True
191580	191580	neintitulând	intitula	Vmg	ne.in.ti.tu.lând	neintitul'ând	n e i n t i t u l 1 n d	True
248682	248682	regretabilul	regretabil	Afpmsry	re.gre.ta.bi.lul	regret'abilul	r e g r e t a b i l u l	True
298319	298319	turkmenele	turkmenă	Ncfpry	tur.kme.ne.le	turkm'enele	t u r k m e n e l e	True
2796	2796	știuci	știucă	Ncfson	știuci	știuci	S t i u tS	True
218638	218638	pichetai	picheta	Vmis1s	pi.che.tai	pichet'ai	p i k_j e t a j	True
77715	77715	contemplaseră	contempla	Vmil3p	con.tem.pla.se.ră	contempl'aseră	k o n t e m p l a s e r @	True
270142	270142	sincerității	sinceritate	Ncfsoy	sin.ce.ri.tă.ții	sincerit'ății	s i n tS e r i t @ ts i j	True
307852	307852	vizibili	vizibil	Afpmp-n	vi.zi.bili	viz'ibili	v i z i b i l i_0	True
233385	233385	productive	productiv	Afpfp-n	pro.duc.ti.ve	product'ive	p r o d u k t i v e	True
182110	182110	morbid	=	Afpms-n	mor.bid	morb'id	m o r b i d	True
142196	142196	hexanului	hexan	Ncmsoy	he.xa.nu.lui	hex'anului	h e ks a n u l u j	True
100059	100059	destitui	=	Vmnp	des.ti.tu.i	destitu'i	d e s t i t u i	True
104426	104426	diametralul	diametral	Afpmsry	di.a.me.tra.lul	diametr'alul	d i a m e t r a l u l	True
195511	195511	nemaiîncuiind	încuia	Vmg	ne.mai.în.cu.i.ind	nemaiîncui'ind	n e m a j 1 n k u i j n d	True
142053	142053	hergheliilor	herghelie	Ncfpoy	her.ghe.li.i.lor	herghel'iilor	h e r g_j e l i i l o r	True
206050	206050	omorâții	omorât	Afpmpry	o.mo.râ.ții	omor'âții	o m o r 1 ts i j	True
