	INDEX	form	lemma	xpos	syllables	stress	phon	err
137087	137087	giuvaerului	ghint	Ncmsoy	giu.va.e.ru.lui	giuva'erului	gZ u v a e r u l u j	
137600	137600	gnu	#ERROR!	Ncfp-n	gnu	gnu	g n u	
137601	137601	gnu	#ERROR!	Ncm--n	gnu	gnu	g n u	
137602	137602	gnu	#ERROR!	Ncmsvn	gnu	gnu	g n u	
139798	139798	guelf	#ERROR!	Ncms-n	guelf	guelf	g w e l f	
140110	140110	guturaielor	guturai	Ncfpoy	gu.tu.ra.ie.lor	gutur'aielor	g u t u r a j e l o r	
142188	142188	hexametilentetraminele	hexametilentetramină	Ncfpry	he.xa.me.ti.len.te.tra.mi.ne.le	hexametilentetram'inele	h e gz a m e t i l e n t e t r a m i n e l e	
142189	142189	hexametilentetraminelor	hexametilentetramină	Ncfpoy	he.xa.me.ti.len.te.tra.mi.ne.lor	hexametilentetram'inelor	h e gz a m e t i l e n t e t r a m i n e l o r	
143939	143939	hotelele	hotel	Ncfpry	ho.te.le.le	hot'elele	h o t e l e l e	
143940	143940	hotelelor	hotel	Ncfpoy	ho.te.le.lor	hot'elelor	h o t e l e l o r	
146196	146196	ignoranțele	ignoranță	Ncfpry	ig.no.ran.țe.le	ignor'anțele	i g n o r a n ts e l e	
146197	146197	ignoranțelor	ignoranță	Ncfpoy	ig.no.ran.țe.lor	ignor'anțelor	i g n o r a n ts e l o r	
146201	146201	ignoranțo	ignoranță	Ncfsvy	ig.no.ran.țo	ignor'anțo	i g n o r a n ts o	
148565	148565	inabilității	inabilitate	Ncfsoy	i.na.bi.li.tă.ții	inabilit'ății	i n a b i l i t @ ts i j	
148689	148689	inadmisibilitățile	inadmisibilitate	Ncfpry	i.nad.mi.si.bi.li.tă.ți.le	inadmisibilit'ățile	i n a d m i s i b i l i t @ ts i l e	
148690	148690	inadmisibilităților	inadmisibilitate	Ncfpoy	i.nad.mi.si.bi.li.tă.ți.lor	inadmisibilit'ăților	i n a d m i s i b i l i t @ ts i l o r	
150748	150748	ineditul	inedit	Ncmsry	i.ne.di.tul	ined'itul	i n e d i t u l	
150750	150750	ineditului	inedit	Ncmsoy	i.ne.di.tu.lui	ined'itului	i n e d i t u l u j	
150996	150996	inexistențele	inexistență	Ncfpry	i.ne.xis.ten.țe.le	inexist'ențele	i n e gz i s t e n ts e l e	
150997	150997	inexistențelor	inexistență	Ncfpoy	i.ne.xis.ten.țe.lor	inexist'ențelor	i n e gz i s t e n ts e l o r	
159255	159255	israeliți	israelit	Ncmp-n	is.ra.e.liți	israel'iți	i s r a e l i ts i_0	
159256	159256	israeliții	israelit	Ncmpry	is.ra.e.li.ții	israel'iții	i s r a e l i ts i j	
159257	159257	israeliților	israelit	Ncmpoy	is.ra.e.li.ți.lor	israel'iților	i s r a e l i ts i l o r	
162419	162419	lăcșorul	lăcșor	Ncmsry	lăc.șo.rul	lăcș'orul	l @ k S o r u l	
163789	163789	lateralei	laterală	Ncfsoy	la.te.ra.lei	later'alei	l a t e r a l e j	
165285	165285	leule	leu	Ncmsvy	le.u.le	l'eule	l e u l e	
170353	170353	machul	mach	Ncmsry	ma.chul	m'achul	m a tS h w l	elim
206441	206441	openului	open	Ncmsoy	o.pe.nu.lui	openului	o p e n u l u j	
208054	208054	origami	origam	Ncmp-n	o.ri.gami	orig'ami	o r i g a m i_0	
208880	208880	otel	#ERROR!	Ncms-n	o.tel	ot'el	o t e l	
208881	208881	otele	otel	Ncfp-n	o.te.le	ot'ele	o t e l e	
208882	208882	otelele	otel	Ncfpry	o.te.le.le	ot'elele	o t e l e l e	
208883	208883	otelelor	otel	Ncfpoy	o.te.le.lor	ot'elelor	o t e l e l o r	
208884	208884	otelul	otel	Ncmsry	o.te.lul	ot'elul	o t e l u l	
208885	208885	otelului	otel	Ncmsoy	o.te.lu.lui	ot'elului	o t e l u l u j	
208886	208886	oteluri	otel	Ncfp-n	o.te.luri	ot'eluri	o t e l u r i_0	
208887	208887	otelurile	otel	Ncfpry	o.te.lu.ri.le	ot'elurile	o t e l u r i l e	
208888	208888	otelurilor	otel	Ncfpoy	o.te.lu.ri.lor	ot'elurilor	o t e l u r i l o r	
209247	209247	oxidril	#ERROR!	Ncms-n	o.xi.dril	oxidr'il	o ks i d r i l	
212481	212481	parabucla	parabuclă	Ncfsry	pa.ra.bu.cla	parab'ucla	p a r a b u k l a	
212482	212482	parabucle	parabuclă	Ncfp-n	pa.ra.bu.cle	parab'ucle	p a r a b u k l e	
212483	212483	parabucle	parabuclă	Ncfson	pa.ra.bu.cle	parab'ucle	p a r a b u k l e	
212484	212484	parabuclei	parabuclă	Ncfsoy	pa.ra.bu.clei	parab'uclei	p a r a b u k l e j	
212485	212485	parabuclele	parabuclă	Ncfpry	pa.ra.bu.cle.le	parab'uclele	p a r a b u k l e l e	
212486	212486	parabuclelor	parabuclă	Ncfpoy	pa.ra.bu.cle.lor	parab'uclelor	p a r a b u k l e l o r	
218944	218944	pielcică	#ERROR!	Ncfsrn	piel.ci.că	pielc'ică	p j e l tS i k @	
223873	223873	politrucii	politruc	Ncmpry	po.li.tru.cii	politr'ucii	p o l i t r u tS i j	
223874	223874	politrucilor	politruc	Ncmpoy	po.li.tru.ci.lor	politr'ucilor	p o l i t r u tS i l o r	
226401	226401	povidla	povidlă	Ncfsry	po.vid.la	pov'idla	p o v i d l a	
226407	226407	povidlo	povidlă	Ncfsvy	po.vid.lo	pov'idlo	p o v i d l o	
237209	237209	puburile	pub	Ncfpry	pu.bu.ri.le	p'uburile	p u b u r i l e	
237210	237210	puburilor	pub	Ncfpoy	pu.bu.ri.lor	p'uburilor	p u b u r i l o r	
237272	237272	pudl	#ERROR!	Ncms-n	pudl	p'udl	p u d l	elim
243152	243152	raznocinții	raznocinți	Ncmpry	raz.no.cin.ții	raznoc'inții	r a z n o tS i n ts i j	
243153	243153	raznocinților	raznocinți	Ncmpoy	raz.no.cin.ți.lor	raznoc'inților	r a z n o tS i n ts i l o r	
258023	258023	rouo	rouă	Ncfsvy	ro.uo	r'ouo	r o w o	
262900	262900	schi	#ERROR!	Ncms-n	schi	schi	s k i	
263519	263519	scoici	scoică	Ncfp-n	scoici	scoici	s k o j tS	
263520	263520	scoici	scoică	Ncfson	scoici	scoici	s k o j tS	
267552	267552	service	#ERROR!	Ncms-n	ser.vice	s'ervice	s e r v i s	elim
270413	270413	single	#ERROR!	Ncf--n	single	single	s i n g l	elim
270414	270414	single	#ERROR!	Ncfpoy	single	single	s i n g l	elim
270415	270415	single	#ERROR!	Ncfpry	single	single	s i n g l	elim
270416	270416	single	#ERROR!	Ncmsry	single	single	s i n g l	elim
272049	272049	sms	#ERROR!	Ncms-n	sms	sms	s m s	elim
275198	275198	spiru	#ERROR!	Ncms-n	spi.ru	spiru	s p i r u	elim
279123	279123	street	#ERROR!	Ncms-n	street	street	s t r e e t	elim
288413	288413	tavanurile	tavan	Ncfpry	ta.va.nu.ri.le	tav'anurile	t a v a n u r i l e	
288414	288414	tavanurilor	tavan	Ncfpoy	ta.va.nu.ri.lor	tav'anurilor	t a v a n u r i l o r	
298040	298040	turbanurile	turban	Ncfpry	tur.ba.nu.ri.le	turb'anurile	t u r b a n u r i l e	
298041	298041	turbanurilor	turban	Ncfpoy	tur.ba.nu.ri.lor	turb'anurilor	t u r b a n u r i l o r	
304688	304688	vecino	vecină	Ncfsvy	ve.ci.no	vec'ino	v e tS i n o	
308300	308300	vodcii	vodcă	Ncfsoy	vod.cii	v'odcii	v o d tS i j	
309250	309250	vrâsta	vrâstă	Ncfsry	vrâs.ta	vr'âsta	v r 1 s t a	
309251	309251	vrâste	vrâstă	Ncfp-n	vrâs.te	vr'âste	v r 1 s t e	
309252	309252	vrâste	vrâstă	Ncfson	vrâs.te	vr'âste	v r 1 s t e	
310135	310135	xenofobo	xenofobă	Ncfsvy	xe.no.fo.bo	xenof'obo	ks e n o f o b o	
310821	310821	zaici	zaică	Ncfp-n	zaici	zaici	z a j tS	
310822	310822	zaici	zaică	Ncfson	zaici	zaici	z a j tS	
